Name Equatorial Polar BlueFlux GreenFlux RedFlux Parallax RadialVelocity Distance Periodicity Location
P07463 18.534 160.491 1.69e-15 9.09e-16 3.85e-16 0.001 -0.04 undef 0 DownE05
P06870 18.624 161.645 1.12e-15 6.37e-16 2.61e-16 0.001 1.54 undef 0 DownE05
P08874 18.6 161.538 9.30e-16 5.79e-16 2.21e-16 -0.0 1.08 undef 0 DownE05
P05597 18.512 161.416 6.30e-14 3.82e-14 1.81e-14 -0.0 0.59 undef 0 DownE05
P05014 18.64 161.627 3.65e-14 1.93e-14 8.39e-15 0.0 1.31 undef 0 DownE05
P01222 18.494 161.549 7.01e-17 5.35e-17 2.63e-17 0.001 1.09 undef 0 DownE05
P06452 18.684 161.055 4.89e-14 5.25e-14 4.92e-14 0.0 0.10 undef 18.94934333958724 DownE05
P06159 18.616 161.347 3.01e-15 1.71e-15 5.93e-16 0.002 0.50 undef 0 DownE05
P09481 18.639 161.01 1.55e-17 1.45e-17 9.52e-18 -0.0 0.26 undef 50.92436974789916 DownE05
P06025 18.615 161.347 2.48e-17 2.24e-17 1.30e-17 -0.001 0.99 undef 0 DownE05
P05163 18.751 161.419 2.93e-14 4.15e-14 5.19e-14 -0.0 0.86 undef 19.79098628347485 DownE05
P08292 18.739 161.433 2.41e-16 1.42e-16 6.31e-17 0.001 1.05 undef 0 DownE05
P10000 19.051 160.624 4.92e-14 2.89e-14 1.63e-14 0.002 0.16 undef 0 DownE05
P00099 18.892 160.386 5.60e-16 3.42e-16 1.40e-16 -0.001 0.02 undef 0 DownE05
P08546 18.714 161.596 1.84e-17 1.57e-17 9.21e-18 0.001 1.22 undef 0 DownE05
P07090 18.837 161.703 2.47e-15 1.05e-15 6.02e-16 0.001 1.28 undef 0 DownE05
P05275 18.968 161.311 3.35e-15 1.61e-15 8.07e-16 -0.0 0.48 undef 0 DownE05
P01809 18.96 161.498 1.93e-15 8.18e-16 3.70e-16 0.0 0.91 undef 0 DownE05
P06589 19.024 161.672 6.91e-16 3.51e-16 1.89e-16 -0.001 1.24 undef 0 DownE05
P08377 19.025 161.341 1.86e-15 7.81e-16 4.19e-16 -0.002 0.77 undef 0 DownE05
P08843 19.131 161.725 2.13e-15 9.92e-16 5.21e-16 -0.0 1.28 undef 0 DownE05
P01269 19.615 160.846 2.52e-16 1.39e-16 7.81e-17 0.001 0.56 undef 0 DownE05
P02537 19.607 161.773 1.82e-17 1.64e-17 1.01e-17 0.001 1.21 undef 0 DownE05
P02555 20.609 160.747 3.13e-15 1.45e-15 7.64e-16 -0.001 0.64 undef 0 DownE05
P09961 23.528 161.964 1.57e-15 8.27e-16 3.81e-16 -0.001 1.29 undef 0 DownE05
P08183 315.88 45.683 1.35e-13 6.45e-14 2.87e-14 0.003 -3.10 undef 0 FrontA01
P04915 318.273 45.275 1.43e-12 7.07e-13 3.26e-13 0.002 -3.54 undef 0 FrontA01
P05784 316.555 85.079 7.33e-12 2.04e-11 3.72e-11 0.017 -3.79 59 0 FrontA03
P02726 328.558 89.91 3.78e-16 2.13e-16 1.09e-16 -0.0 2.75 undef 0 FrontA03
P02449 329.692 89.96 6.35e-14 3.61e-14 1.59e-14 0.0 0.53 undef 0 FrontA03
P01184 329.8 89.913 6.10e-16 3.34e-16 1.82e-16 -0.0 0.36 undef 0 FrontA03
P08961 329.844 89.946 1.26e-16 9.41e-17 5.10e-17 -0.0 0.32 undef 0 FrontA03
P02625 327.769 90.029 1.05e-16 7.55e-17 3.79e-17 -0.0 2.78 undef 0 FrontA04
P01146 328.548 90.297 1.24e-17 1.07e-17 7.99e-18 0.001 3.03 undef 50.027517886626306 FrontA04
P05143 328.504 90.57 6.30e-17 3.96e-17 2.17e-17 0.001 3.11 undef 0 FrontA04
P06618 328.544 90.244 2.99e-15 1.46e-15 7.58e-16 -0.0 2.83 undef 0 FrontA04
P00405 328.554 90.894 3.16e-17 2.27e-17 1.46e-17 0.001 2.33 undef 0 FrontA04
P03619 328.65 91.311 2.06e-16 1.31e-16 6.69e-17 0.002 1.27 undef 0 FrontA04
P04280 328.706 90.521 2.96e-16 1.86e-16 9.06e-17 0.001 2.99 undef 0 FrontA04
P02726 328.661 90.156 3.65e-16 2.16e-16 1.08e-16 0.0 2.75 undef 0 FrontA04
P05272 328.723 90.647 1.29e-17 1.03e-17 7.80e-18 0.001 3.00 undef 50.360110803324105 FrontA04
P00060 328.799 90.474 1.61e-15 8.45e-16 4.02e-16 0.002 2.98 undef 0 FrontA04
P06250 329.021 90.761 3.29e-17 2.28e-17 1.44e-17 -0.001 2.63 undef 0 FrontA04
P01321 328.955 90.547 2.24e-15 1.13e-15 5.30e-16 0.001 2.66 undef 0 FrontA04
P09042 329.082 90.798 3.37e-14 5.77e-14 6.20e-14 0.001 2.34 undef 19.68810916179337 FrontA04
P05015 328.999 90.7 1.28e-16 8.41e-17 4.59e-17 -0.001 2.58 undef 0 FrontA04
P09986 329.277 90.785 5.56e-16 3.29e-15 1.13e-14 0.001 2.07 undef 0 FrontA04
P06497 329.248 90.168 8.44e-17 5.65e-17 2.90e-17 0.002 1.70 undef 0 FrontA04
P05158 329.268 90.669 1.40e-15 7.43e-16 3.04e-16 0.001 2.58 undef 0 FrontA04
P06743 329.244 91.064 7.36e-14 7.75e-14 6.47e-14 0.003 2.16 undef 18.33770425660682 FrontA04
P04045 329.383 91.06 4.99e-14 2.72e-14 1.36e-14 -0.001 1.25 undef 0 FrontA04
P01717 329.359 90.804 1.13e-13 8.05e-14 4.23e-14 0.002 1.98 undef 0 FrontA04
P02671 329.364 90.672 7.54e-16 3.77e-16 2.23e-16 0.0 2.56 undef 0 FrontA04
P09480 329.34 90.448 1.62e-15 9.75e-16 4.54e-16 0.002 2.55 undef 0 FrontA04
P03949 329.491 90.596 5.30e-17 3.85e-17 2.31e-17 0.001 2.45 undef 0 FrontA04
P01408 329.518 90.713 1.36e-17 1.23e-17 8.40e-18 -0.0 2.39 undef 49.699289229086936 FrontA04
P07045 329.548 90.349 3.01e-17 2.45e-17 1.32e-17 0.002 1.49 undef 0 FrontA04
P09870 329.499 90.409 4.03e-17 3.01e-17 2.04e-17 -0.001 2.01 undef 0 FrontA04
P01551 329.536 90.613 3.89e-16 2.83e-16 1.29e-16 -0.0 2.15 undef 0 FrontA04
P04783 329.72 90.253 1.55e-16 1.06e-16 4.91e-17 0.0 1.35 undef 0 FrontA04
P00220 329.612 90.683 4.87e-17 3.17e-17 1.69e-17 0.002 1.41 undef 0 FrontA04
P01496 329.524 90.671 5.45e-14 2.40e-14 1.32e-14 -0.001 1.65 undef 0 FrontA04
P00326 329.632 91.005 2.66e-17 1.73e-17 1.27e-17 0.0 0.70 undef 0 FrontA04
P00900 329.664 90.674 5.19e-17 3.32e-17 2.17e-17 0.001 1.86 undef 0 FrontA04
P08241 329.61 90.523 3.65e-16 2.23e-16 1.06e-16 0.0 1.73 undef 0 FrontA04
P06454 329.701 90.736 6.11e-14 3.07e-14 1.46e-14 0.003 1.19 undef 0 FrontA04
P00286 329.655 90.692 1.28e-17 1.04e-17 6.86e-18 -0.001 1.55 undef 49.59083469721767 FrontA04
P04683 329.771 90.63 3.98e-14 1.77e-14 7.93e-15 0.0 1.65 undef 0 FrontA04
P00381 329.821 91.032 5.34e-16 3.24e-16 1.51e-16 -0.0 0.54 undef 0 FrontA04
P08224 329.694 90.741 1.01e-13 6.75e-14 4.22e-14 -0.0 1.72 undef 0 FrontA04
P02119 329.703 90.65 4.01e-17 2.63e-17 1.74e-17 0.001 1.77 undef 0 FrontA04
P06788 329.736 90.933 1.26e-16 7.92e-17 4.46e-17 0.001 1.23 undef 0 FrontA04
P06979 329.711 90.517 1.41e-17 1.18e-17 7.65e-18 0.002 1.43 undef 50.027517886626306 FrontA04
P08961 329.844 90.056 1.27e-16 9.65e-17 5.01e-17 0.003 0.29 undef 0 FrontA04
P03033 329.748 90.696 3.48e-16 1.96e-16 1.00e-16 -0.0 1.65 undef 0 FrontA04
P00878 329.917 90.658 3.90e-14 2.26e-14 7.95e-15 0.0 1.21 undef 0 FrontA04
P05504 329.961 90.246 4.27e-17 3.09e-17 2.06e-17 0.001 0.41 undef 0 FrontA04
P04171 329.861 91.213 4.19e-15 2.23e-15 9.34e-16 0.002 0.24 undef 0 FrontA04
P02065 329.704 90.303 9.00e-14 5.38e-14 3.05e-14 -0.0 1.02 undef 0 FrontA04
P07972 329.782 90.727 4.66e-15 2.43e-15 1.05e-15 0.0 1.36 undef 0 FrontA04
P03448 329.832 90.605 3.59e-15 1.71e-15 8.20e-16 0.001 1.32 undef 0 FrontA04
P03861 329.836 90.433 3.32e-16 1.90e-16 1.01e-16 -0.001 1.14 undef 0 FrontA04
P07162 329.976 90.692 7.41e-16 3.62e-16 1.88e-16 0.001 1.19 undef 0 FrontA04
P08941 329.886 90.793 3.72e-16 2.19e-16 1.15e-16 0.002 0.64 undef 0 FrontA04
P07779 329.95 90.721 8.43e-14 8.58e-14 5.73e-14 -0.001 0.81 undef 0 FrontA04
P05071 329.987 90.641 1.02e-15 5.14e-16 2.78e-16 0.002 0.26 undef 0 FrontA04
P08050 329.893 90.508 4.54e-15 2.11e-15 9.22e-16 0.001 0.20 undef 0 FrontA04
P01260 329.999 90.646 8.22e-14 5.05e-14 2.79e-14 -0.0 0.24 undef 0 FrontA04
P06388 329.987 90.723 1.05e-17 9.61e-18 6.08e-18 -0.001 0.15 undef 49.26829268292683 FrontA04
P02857 329.997 90.659 2.07e-17 1.84e-17 1.16e-17 0.002 0.11 undef 0 FrontA04
P10392 329.967 90.675 9.73e-16 5.64e-16 2.79e-16 0.0 -0.08 undef 0 FrontA04
P00163 329.972 90.429 4.94e-17 3.27e-17 2.03e-17 0.002 -0.12 undef 0 FrontA04
P01500 329.924 90.275 6.07e-16 3.45e-16 1.75e-16 0.001 -0.16 undef 0 FrontA04
P10192 317.626 119.498 7.18e-12 4.61e-12 2.93e-12 0.005 -2.71 undef 0 FrontA05
P02153 315.589 134.809 2.16e-14 1.38e-14 9.87e-15 0.012 0.13 83 0 FrontA06
P03067 315.968 134.42 9.10e-14 6.03e-14 3.56e-14 0.016 0.17 62 0 FrontA06
P07161 316.044 126.573 6.54e-16 4.78e-16 2.84e-16 0.001 -2.43 undef 0 FrontA06
P02838 316.111 129.736 5.98e-16 3.77e-16 2.04e-16 0.0 -3.57 undef 0 FrontA06
P05871 316.317 128.356 4.45e-15 2.55e-15 1.26e-15 -0.0 -3.98 undef 0 FrontA06
P05264 316.367 124.311 6.25e-15 4.64e-15 2.26e-15 0.005 -3.27 undef 0 FrontA06
P00809 316.39 128.23 2.02e-16 1.42e-16 9.30e-17 0.002 -3.87 undef 0 FrontA06
P04876 316.456 134.636 1.29e-17 2.71e-17 3.17e-17 0.007 -3.09 143 0 FrontA06
P08099 316.355 130.298 1.73e-15 2.22e-15 2.03e-15 0.021 0.86 48 0 FrontA06
P02730 316.812 132.367 1.97e-12 1.25e-12 4.71e-13 0.022 0.81 45 0 FrontA06
P06193 316.981 127.739 1.93e-16 1.34e-16 8.11e-17 0.001 -3.80 undef 0 FrontA06
P05557 318.688 131.137 1.23e-15 2.00e-15 1.70e-15 0.025 0.33 40 0 FrontA06
P08195 320.127 127.153 2.11e-16 3.42e-16 5.21e-16 0.027 0.30 37 0 FrontA06
P05110 320.243 130.86 2.92e-17 2.85e-17 2.46e-17 0.022 0.59 45 0 FrontA06
P01654 320.246 133.387 1.60e-15 2.17e-15 1.82e-15 0.019 0.44 53 0 FrontA06
P00549 320.995 133.518 3.43e-13 2.05e-13 1.22e-13 0.021 0.32 48 0 FrontA06
P08152 321.739 134.714 1.17e-10 6.45e-11 4.34e-11 0.022 0.05 45 0 FrontA06
P01661 321.915 134.416 1.92e-15 2.35e-15 2.34e-15 0.025 -0.02 40 0 FrontA06
P02652 323.717 134.397 7.69e-17 1.64e-16 2.21e-16 0.019 -0.55 53 0 FrontA06
P02875 323.68 130.171 8.04e-11 3.76e-11 2.03e-11 0.023 -0.14 43 0 FrontA06
P01847 324.712 134.447 1.17e-15 1.32e-15 1.32e-15 0.021 -0.52 48 0 FrontA06
P06643 325.736 133.274 4.95e-14 3.37e-14 1.89e-14 0.02 -0.36 50 0 FrontA06
P09207 326.099 134.339 2.76e-14 2.38e-14 1.48e-14 0.027 -0.35 37 49.05558553696708 FrontA06
P09976 326.326 131.44 1.95e-14 1.42e-14 7.34e-15 0.008 1.36 125 0 FrontA06
P05413 327.223 130.508 6.55e-15 5.95e-15 4.63e-15 0.021 -0.73 48 0 FrontA06
P05741 327.567 132.937 9.63e-17 1.23e-16 1.06e-16 0.006 1.32 167 0 FrontA06
P02626 328.187 131.049 6.61e-17 1.28e-16 1.99e-16 0.021 -0.84 48 0 FrontA06
P09994 328.947 134.304 3.98e-15 5.09e-15 4.11e-15 0.023 -0.89 43 0 FrontA06
P07600 328.978 129.4 1.47e-16 2.34e-16 2.59e-16 0.016 -0.31 62 0 FrontA06
P08504 329.169 131.526 5.54e-16 8.68e-16 9.34e-16 0.018 -0.53 56 0 FrontA06
P07864 329.0 132.463 3.55e-16 3.28e-16 3.38e-16 0.009 -2.65 111 0 FrontA06
P04640 329.89 134.736 3.29e-12 1.43e-12 6.58e-13 0.019 -0.93 53 0 FrontA06
P01866 334.479 57.178 4.11e-14 2.06e-14 9.00e-15 0.002 1.13 undef 0 FrontB01
P04291 338.117 53.236 5.22e-13 2.78e-13 1.19e-13 0.002 1.41 undef 0 FrontB01
P00280 338.726 54.208 1.78e-15 1.08e-15 6.17e-16 0.0 1.46 undef 0 FrontB01
P07770 338.953 56.722 3.70e-15 2.33e-15 1.16e-15 0.003 1.15 undef 0 FrontB01
P00915 339.382 54.546 2.63e-14 1.32e-14 6.16e-15 0.001 1.42 undef 0 FrontB01
P02084 339.369 51.188 8.47e-13 4.80e-13 2.36e-13 0.003 0.95 undef 0 FrontB01
P03991 339.639 55.311 4.64e-16 3.48e-16 2.07e-16 0.001 1.40 undef 0 FrontB01
P00820 339.702 52.716 1.43e-14 7.76e-15 3.67e-15 0.002 1.12 undef 0 FrontB01
P04033 339.94 54.339 6.22e-15 3.61e-15 1.78e-15 0.002 1.36 undef 0 FrontB01
P01778 340.207 55.333 1.24e-12 9.49e-13 5.88e-13 0.001 1.38 undef 0 FrontB01
P03791 340.118 54.116 1.64e-17 1.87e-17 1.63e-17 0.001 1.28 undef 0 FrontB01
P10390 340.173 54.011 1.07e-17 1.34e-17 1.26e-17 0.002 1.35 undef 0 FrontB01
P07692 340.311 55.498 1.35e-16 1.15e-16 8.30e-17 0.003 1.25 undef 49.48285247686445 FrontB01
P05007 340.489 55.286 6.47e-13 3.47e-13 1.67e-13 0.001 1.33 undef 0 FrontB01
P10124 340.458 57.009 7.89e-17 7.07e-17 5.20e-17 0.001 0.91 undef 0 FrontB01
P04248 340.562 54.598 6.98e-17 6.70e-17 5.01e-17 0.003 1.30 undef 0 FrontB01
P01286 340.55 51.858 3.70e-16 2.81e-16 1.81e-16 0.002 0.85 undef 0 FrontB01
P07097 340.657 53.735 2.18e-15 1.40e-15 7.15e-16 0.002 1.14 undef 0 FrontB01
P02639 340.68 45.587 1.08e-17 1.29e-17 1.12e-17 0.0 1.70 undef 0 FrontB01
P05010 340.659 50.613 1.39e-16 1.19e-16 8.73e-17 0.002 0.73 undef 49.699289229086936 FrontB01
P08986 340.873 55.962 1.42e-17 1.66e-17 1.55e-17 0.001 1.18 undef 0 FrontB01
P06888 340.763 56.19 2.47e-14 1.26e-14 5.82e-15 0.002 0.98 undef 0 FrontB01
P08121 340.863 55.946 2.78e-17 3.04e-17 2.54e-17 -0.001 1.10 undef 0 FrontB01
P09105 340.937 55.854 1.19e-14 6.68e-15 3.14e-15 0.002 1.09 undef 0 FrontB01
P09381 341.006 57.02 1.33e-16 1.15e-16 7.99e-17 0.001 0.69 undef 50.027517886626306 FrontB01
P02220 340.991 54.302 8.28e-17 7.81e-17 6.00e-17 0.002 1.06 undef 48.635634028892454 FrontB01
P06961 341.065 55.411 5.27e-14 2.70e-14 1.12e-14 0.003 1.25 undef 0 FrontB01
P03106 341.233 54.624 8.36e-16 5.72e-16 3.43e-16 0.003 1.09 undef 0 FrontB01
P06433 341.164 55.647 1.47e-16 1.32e-16 8.63e-17 0.004 1.14 undef 49.16170903190913 FrontB01
P07705 341.01 56.665 1.41e-14 7.45e-15 3.50e-15 -0.002 0.83 undef 0 FrontB01
P02442 341.131 56.266 1.44e-14 8.17e-15 3.75e-15 0.001 0.93 undef 0 FrontB01
P08448 341.17 55.873 7.41e-15 4.10e-15 1.92e-15 0.001 1.09 undef 0 FrontB01
P09233 341.206 56.069 1.38e-17 1.66e-17 1.48e-17 0.002 0.93 undef 0 FrontB01
P01783 341.084 54.23 2.39e-15 1.51e-15 7.90e-16 0.0 0.97 undef 0 FrontB01
P01504 341.115 57.434 6.04e-13 7.94e-13 7.45e-13 0.002 0.51 undef 19.519003650418725 FrontB01
P03289 341.217 57.617 6.19e-17 5.73e-17 4.30e-17 0.002 0.39 undef 0 FrontB01
P02888 341.26 55.282 6.38e-13 3.22e-13 1.48e-13 0.0 1.12 undef 0 FrontB01
P05815 341.328 57.686 7.77e-17 7.09e-17 5.25e-17 0.002 0.34 undef 49.375339489407935 FrontB01
P07010 341.433 58.058 1.74e-14 9.33e-15 4.22e-15 0.002 0.21 undef 0 FrontB01
P02017 341.533 55.675 1.47e-15 9.83e-16 5.55e-16 0.001 0.99 undef 0 FrontB01
P00489 341.518 54.879 5.94e-15 3.44e-15 1.70e-15 0.004 0.91 undef 0 FrontB01
P08089 341.598 54.96 1.23e-17 1.46e-17 1.36e-17 0.003 0.96 undef 0 FrontB01
P06790 341.687 53.83 8.61e-13 4.47e-13 2.23e-13 0.002 0.70 undef 0 FrontB01
P08051 341.594 56.629 7.89e-16 5.33e-16 3.26e-16 0.001 0.53 undef 0 FrontB01
P06649 341.704 56.971 9.11e-17 8.37e-17 6.13e-17 0.002 0.31 undef 49.16170903190913 FrontB01
P06994 341.755 55.927 2.33e-17 2.68e-17 2.22e-17 0.002 0.90 undef 0 FrontB01
P01416 341.828 55.988 6.87e-15 3.75e-15 1.90e-15 0.002 0.80 undef 0 FrontB01
P06397 341.752 57.108 8.11e-15 4.43e-15 2.26e-15 0.001 0.26 undef 0 FrontB01
P02512 341.678 55.465 2.47e-14 1.27e-14 5.94e-15 0.003 0.96 undef 0 FrontB01
P06953 341.688 55.959 2.78e-15 1.76e-15 9.00e-16 0.004 0.85 undef 0 FrontB01
P06528 341.779 55.874 5.42e-13 7.38e-13 7.71e-13 0.002 0.85 undef 19.369273385893884 FrontB01
P10329 341.859 54.771 5.20e-15 3.00e-15 1.53e-15 0.003 0.67 undef 0 FrontB01
P09707 341.895 55.863 1.31e-15 8.59e-16 4.84e-16 0.001 0.86 undef 0 FrontB01
P07731 341.92 56.195 1.68e-15 1.05e-15 5.84e-16 0.002 0.54 undef 0 FrontB01
P06142 341.944 56.047 7.95e-14 2.30e-13 4.29e-13 0.001 0.69 undef 0 FrontB01
P03024 341.965 56.307 1.55e-15 9.46e-16 5.53e-16 0.001 0.53 undef 0 FrontB01
P07622 342.106 55.667 6.07e-17 5.91e-17 4.40e-17 0.002 0.72 undef 0 FrontB01
P08613 341.94 55.733 5.23e-16 3.84e-16 2.35e-16 0.001 0.73 undef 0 FrontB01
P08703 342.091 55.872 5.74e-15 3.21e-15 1.64e-15 0.004 0.67 undef 0 FrontB01
P01630 342.129 56.193 8.45e-17 7.46e-17 5.71e-17 0.002 0.44 undef 48.73994638069705 FrontB01
P06927 342.132 54.975 1.10e-15 7.41e-16 4.15e-16 0.003 0.47 undef 0 FrontB01
P02137 342.226 55.323 2.58e-14 1.37e-14 6.28e-15 0.003 0.47 undef 0 FrontB01
P02889 342.127 55.831 1.07e-15 7.34e-16 4.21e-16 0.0 0.43 undef 0 FrontB01
P03284 342.238 55.713 7.85e-15 4.26e-15 2.15e-15 0.001 0.46 undef 0 FrontB01
P08825 342.277 55.755 8.18e-15 4.66e-15 2.24e-15 0.002 0.40 undef 0 FrontB01
P08081 342.361 56.052 3.74e-16 2.80e-16 1.75e-16 0.002 0.30 undef 0 FrontB01
P07673 342.275 55.796 2.16e-14 1.14e-14 5.37e-15 0.004 0.34 undef 0 FrontB01
P00096 342.197 57.95 3.42e-17 3.71e-17 3.00e-17 0.002 -0.19 undef 0 FrontB01
P01931 342.252 56.049 8.09e-15 4.57e-15 2.33e-15 0.003 0.11 undef 0 FrontB01
P06995 342.234 55.814 9.88e-13 5.82e-13 3.05e-13 0.004 0.35 undef 0 FrontB01
P08995 342.377 56.005 4.33e-15 2.55e-15 1.33e-15 0.003 0.00 undef 0 FrontB01
P10084 342.53 55.89 6.77e-13 3.71e-13 1.64e-13 0.003 0.22 undef 0 FrontB01
P06353 342.36 55.946 2.41e-15 1.41e-15 7.71e-16 0.001 0.09 undef 0 FrontB01
P04438 342.426 55.868 1.22e-12 8.12e-13 4.80e-13 0.001 0.15 undef 0 FrontB01
P06881 342.455 56.29 9.26e-13 5.48e-13 2.84e-13 0.002 -0.06 undef 0 FrontB01
P08629 342.439 55.871 1.22e-16 1.07e-16 7.74e-17 0.001 -0.08 undef 50.13789299503585 FrontB01
P03326 342.452 55.978 8.06e-17 7.20e-17 5.45e-17 0.0 -0.07 undef 49.16170903190913 FrontB01
P04847 342.427 55.735 3.84e-14 1.97e-14 8.52e-15 0.001 0.01 undef 0 FrontB01
P05553 342.449 55.851 1.97e-14 1.02e-14 4.78e-15 0.003 -0.11 undef 0 FrontB01
P06264 342.557 55.821 6.38e-14 3.05e-14 1.39e-14 0.002 0.04 undef 0 FrontB01
P05915 342.655 55.71 1.23e-12 1.03e-12 6.77e-13 0.002 -0.11 undef 0 FrontB01
P07761 342.471 55.953 2.12e-13 4.37e-13 6.22e-13 0.002 -0.22 undef 0 FrontB01
P09921 342.428 55.953 2.36e-15 1.42e-15 7.25e-16 0.003 -0.17 undef 0 FrontB01
P09584 342.554 56.029 6.56e-16 4.82e-16 2.82e-16 0.0 -0.35 undef 0 FrontB01
P08834 342.394 55.818 3.46e-17 3.61e-17 2.91e-17 0.0 -0.13 undef 0 FrontB01
P08102 342.498 56.546 4.40e-16 3.49e-16 2.12e-16 0.003 -0.30 undef 0 FrontB01
P05758 342.627 55.827 5.36e-17 5.30e-17 4.11e-17 0.002 -0.25 undef 0 FrontB01
P00552 342.487 55.806 1.52e-14 8.42e-15 3.87e-15 0.002 -0.31 undef 0 FrontB01
P00656 342.79 46.741 5.31e-16 3.68e-16 2.12e-16 0.003 1.77 undef 0 FrontB01
P07686 342.515 55.728 3.54e-17 3.70e-17 3.05e-17 0.001 -0.20 undef 0 FrontB01
P09375 342.624 56.62 7.97e-16 5.69e-16 3.31e-16 0.002 -0.32 undef 0 FrontB01
P00532 342.706 58.754 1.35e-17 1.66e-17 1.46e-17 0.001 -0.29 undef 0 FrontB01
P10245 342.57 57.787 4.80e-14 2.54e-14 1.16e-14 0.001 -0.29 undef 0 FrontB01
P10066 342.577 55.972 4.01e-15 2.37e-15 1.20e-15 0.001 -0.44 undef 0 FrontB01
P03674 342.648 55.617 9.26e-17 8.78e-17 6.37e-17 0.001 -0.25 undef 48.84470714669533 FrontB01
P07044 342.769 56.554 1.72e-14 9.11e-15 4.14e-15 0.001 -0.40 undef 0 FrontB01
P05986 342.696 56.463 3.80e-14 1.84e-14 8.51e-15 0.002 -0.48 undef 0 FrontB01
P09097 342.67 54.797 7.58e-16 5.24e-16 2.99e-16 0.001 0.08 undef 0 FrontB01
P05513 342.704 56.459 8.58e-16 6.09e-16 3.53e-16 0.002 -0.42 undef 0 FrontB01
P02179 342.697 56.117 5.43e-13 2.61e-13 1.33e-13 0.004 -0.52 undef 0 FrontB01
P03540 342.659 55.479 2.84e-14 1.44e-14 6.58e-15 0.002 -0.16 undef 0 FrontB01
P00230 342.699 55.688 4.54e-17 4.56e-17 3.46e-17 0.0 -0.48 undef 0 FrontB01
P09622 342.879 51.541 2.96e-14 1.46e-14 6.64e-15 0.001 0.32 undef 0 FrontB01
P08591 342.936 55.916 1.68e-17 1.86e-17 1.68e-17 0.003 -0.61 undef 0 FrontB01
P10092 342.867 56.156 2.89e-14 1.55e-14 6.92e-15 0.002 -0.70 undef 0 FrontB01
P04312 342.92 52.761 1.03e-17 1.31e-17 1.19e-17 0.003 0.14 undef 0 FrontB01
P07994 342.899 57.297 1.16e-14 6.03e-15 2.85e-15 0.002 -0.45 undef 0 FrontB01
P10303 342.905 57.116 1.92e-14 1.01e-14 4.65e-15 0.003 -0.58 undef 0 FrontB01
P04667 342.762 55.991 1.89e-17 9.07e-18 4.01e-18 0.001 -0.75 undef 0 FrontB01
P08372 342.992 53.957 7.27e-17 6.84e-17 5.30e-17 0.002 0.00 undef 0 FrontB01
P09597 343.02 54.584 1.18e-14 6.43e-15 3.02e-15 0.002 -0.16 undef 0 FrontB01
P01205 343.255 55.465 1.02e-14 5.37e-15 2.77e-15 0.001 -0.43 undef 0 FrontB01
P02272 343.055 56.665 3.29e-16 2.50e-16 1.58e-16 0.002 -0.75 undef 0 FrontB01
P00296 343.221 56.602 2.53e-15 1.55e-15 8.46e-16 0.001 -0.89 undef 0 FrontB01
P03719 343.152 57.903 1.11e-14 6.04e-15 2.72e-15 0.002 -0.56 undef 0 FrontB01
P03181 343.206 53.361 9.54e-17 8.60e-17 6.14e-17 0.001 0.10 undef 48.428343100692594 FrontB01
P04459 343.212 56.582 1.81e-17 2.07e-17 1.81e-17 0.001 -0.89 undef 0 FrontB01
P01690 343.23 55.216 7.62e-13 9.11e-13 8.16e-13 -0.001 -0.40 undef 18.980998120693254 FrontB01
P04068 343.325 56.229 9.43e-15 5.37e-15 2.54e-15 -0.0 -0.89 undef 0 FrontB01
P06833 343.321 55.292 4.56e-14 2.28e-14 9.98e-15 0.002 -0.54 undef 0 FrontB01
P09934 343.229 59.372 2.83e-15 1.77e-15 9.76e-16 0.002 -0.49 undef 0 FrontB01
P01121 343.233 55.692 1.38e-17 1.65e-17 1.42e-17 0.0 -0.76 undef 0 FrontB01
P08522 343.321 57.473 2.59e-14 1.27e-14 5.80e-15 0.001 -0.75 undef 0 FrontB01
P01946 343.444 56.177 1.62e-14 8.55e-15 4.09e-15 0.003 -0.99 undef 0 FrontB01
P04950 343.33 56.462 2.60e-14 1.35e-14 6.09e-15 0.003 -0.99 undef 0 FrontB01
P00684 343.619 56.479 2.81e-16 2.21e-16 1.42e-16 0.001 -1.01 undef 50.24875621890547 FrontB01
P05812 343.681 55.821 6.32e-17 6.08e-17 4.73e-17 0.002 -0.97 undef 0 FrontB01
P05345 343.836 57.191 9.29e-15 5.15e-15 2.49e-15 0.001 -0.96 undef 0 FrontB01
P07111 343.951 56.989 1.16e-14 6.46e-15 3.05e-15 0.003 -1.09 undef 0 FrontB01
P02576 343.997 55.678 8.97e-13 5.39e-13 2.61e-13 0.002 -1.00 undef 0 FrontB01
P01170 344.031 56.272 2.73e-17 3.00e-17 2.51e-17 0.002 -1.13 undef 0 FrontB01
P07863 344.245 56.994 6.82e-14 3.40e-14 1.48e-14 0.002 -1.22 undef 0 FrontB01
P09275 344.186 57.338 1.07e-12 6.55e-13 3.43e-13 0.002 -1.15 undef 0 FrontB01
P03225 344.306 57.146 3.00e-16 2.29e-16 1.53e-16 0.001 -1.11 undef 0 FrontB01
P04509 344.589 53.274 2.40e-15 1.50e-15 8.11e-16 0.002 -0.36 undef 0 FrontB01
P06466 344.467 55.62 1.42e-16 1.19e-16 8.68e-17 0.002 -1.06 undef 49.375339489407935 FrontB01
P00501 344.624 54.583 1.50e-17 1.76e-17 1.58e-17 0.001 -0.68 undef 0 FrontB01
